School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon,Updated Latitude,Updated Longitude
King University,Division II,Division II,Non-DI,Active Member,Conference Carolinas,Conference Carolinas,Non-HBCU,Private,Master's Colleges & Universities,"Bristol, TN",www.king.edu/,www.kingtornado.com/,373_373.site.png,36.5945034,-82.1885212
Piedmont College,Division III,Division III,Non-DI,Active Member,USA South Athletic Conference,USA South Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Demorest, GA",www.piedmont.edu/,www.piedmontlions.com,,34.565193,-83.5453322
Western Carolina University,Division I,Division I,DI FCS,Active Member,Southern Conference,Southern Conference,Non-HBCU,Public,Master's Colleges & Universities,"Cullowhee, NC",www.catamountsports.com,www.wcu.edu/,375_375.site.png,35.3137739,-83.1765814
Brevard College,Division III,Division II,Non-DI,"Active Member, Currently Reclassifying",USA South Athletic Conference,USA South Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Brevard, NC",www.bctornados.com,www.brevard.edu,376_376.thumbnail_default.jpg,35.2334472,-82.7342919
The Citadel,Division I,Division I,DI FCS,Active Member,Southern Conference,Southern Conference,Non-HBCU,Public,Master's Colleges & Universities,"Charleston, SC",citadelsports.com,www.citadel.edu,377_377.favicon.ico,32.7876012,-79.9402728
University of South Carolina Upstate,Division I,Division I,DI Subdivision,Active Member,Big South Conference,Big South Conference,Non-HBCU,Public,Baccalaureate Colleges,"Spartanburg, SC",www.upstatespartans.com,www.uscupstate.edu,378_378.site.png,34.9498007,-81.9320157
University of North Carolina Asheville,Division I,Division I,DI Subdivision,Active Member,Big South Conference,Big South Conference,Non-HBCU,Public,Baccalaureate Colleges,"Asheville, NC",www.unca.edu,www.uncabulldogs.com,379_379.favicon.ico,35.6009498,-82.5540161
Mars Hill University,Division II,Division II,Non-DI,Active Member,South Atlantic Conference,South Atlantic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Mars Hill, NC",www.marshilllions.com,www.mhu.edu/,380_380.apple-touch-icon.png,35.8263793,-82.5486848
Claflin University,Division II,Division II,Non-DI,Active Member,Central Intercollegiate Athletic Association,Central Intercollegiate Athletic Association,HBCU,Private,Baccalaureate Colleges,"Orangeburg, SC",www.Claflin.edu,www.claflin.edu/athletics/,,33.4918203,-80.8556476
Newberry College,Division II,Division II,Non-DI,Active Member,South Atlantic Conference,South Atlantic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Newberry, SC",www.newberry.edu/,www.newberrywolves.com,382_382.site.png,34.3266879,-81.5830086
Limestone College,Division II,Division II,Non-DI,Active Member,Conference Carolinas,Conference Carolinas,Non-HBCU,Private,Baccalaureate Colleges,"Gaffney, SC",golimestonesaints.com/,www.limestone.edu/,383_383.site.png,35.0717945,-81.6498195
Gardner-Webb University,Division I,Division I,DI FCS,Active Member,Big South Conference,Big South Conference,Non-HBCU,Private,Research Universities,"Boiling Springs, NC",www.gardner-webb.edu,www.gwusports.com,384_384.favicon.ico,35.254292,-81.6670407
East Tennessee State University,Division I,Division I,DI FCS,Active Member,Southern Conference,Southern Conference,Non-HBCU,Public,Research Universities,"Johnson City, TN",www.etsu.edu,www.etsubucs.com/,385_385.favicon.ico,36.3134398,-82.3534728
Lees-McRae College,Division II,Division II,Non-DI,Active Member,Conference Carolinas,Conference Carolinas,Non-HBCU,Private,Baccalaureate Colleges,"Banner Elk, NC",lmcbobcats.com,www.lmc.edu,386_386.site.png,36.1631818,-81.8715019
